Degree Program,Degree,URL
Applied Environmental Informatics and Earth Observation,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-applied-environmental-informatics.php
Applied Geosciences,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-applied-geosciences.php
Applied Geosciences,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-applied-geosciences.php
Architecture,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-architecture.php
Architecture,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-architecture.php
Bioengineering,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-bioengineering.php
Bioengineering,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-bioengineering.php
Biology,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-biology.php
Biology,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-biology.php
Biology Teaching Degree,Bachelor of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-biology.php
Biology Teaching Degree,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-biology.php
Biology Teaching Degree Complementary Subject,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-biology-complementary-subject.php
Biomedical Engineering,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-biomedical-engineering.php
Biomedical Engineering,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-biomedical-engineering.php
Chemical and Process Engineering,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-chemical-process-engineering.php
Chemical and Process Engineering,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-chemical-process-engineering.php
Chemical Biology,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-chemical-biology.php
Chemical Biology,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-chemical-biology.php
Chemistry,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-chemistry.php
Chemistry,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-chemistry.php
Chemistry Teaching Degree,Bachelor of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-chemistry.php
Chemistry Teaching Degree,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-chemistry.php
Chemistry Teaching Degree Complementary Subject,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-chemistry-complementary-subject.php
Civil Engineering,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-civil-engineering.php
Civil Engineering,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-civil-engineering.php
Computational and Data Science,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-computational-data-science.php
Computer Science,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-computer-science.php
Digital Economics,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-digital-economics.php
Digital Economics,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-digital-economics.php
Econo­mathematics,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-economathematics.php
Econo­mathematics,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-economathematics.php
Electrical Engineering and Information Technology,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-electrical-engineering-information-technology.php
Electrical Engineering and Information Technology,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-electrical-engineering-information-technology.php
Energy Engineering and Management (Postgraduate Course),Master of Science,https://www.sle.kit.edu/vorstudium/master-energy-engineering.php
Engineering Pedagogics,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-engineering-pedagogics.php
Engineering Pedagogics,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-engineering-pedagogics.php
Engineering Pedagogics for Engineers,Master of Education,https://www.sle.kit.edu/english/vorstudium/master-engineering-pedagogics-for-engineers.php
Engineering Structures,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-engineering-structures.php
European History and Culture of Ideas,Magister Artium,https://www.sle.kit.edu/english/vorstudium/master-european-culture-history-ideas.php
Financial Engineering (Postgraduate Course),Master of Science,https://www.sle.kit.edu/vorstudium/master-financial-engineering.php
Food Chemistry,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-food-chemistry.php
Food Chemistry,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-food-chemistry.php
Geodesy and Geoinformatics,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-geodesy-geoinformatics.php
Geodesy and Geoinformatics,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-geodesy-geoinformatics.php
Geoecology,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-geoecology.php
Geoecology,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-geoecology.php
Geography Teaching Degree,Bachelor of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-geography.php
Geography Teaching Degree,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-geography.php
Geography Teaching Degree Complementary Subject,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-geography-complementary-subject.php
Geophysics,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-geophysics.php
Geophysics,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-geophysics.php
German Literature,Bakkalaureat,https://www.sle.kit.edu/english/vorstudium/bachelor-german-literature.php
German Literature,Magister Artium,https://www.sle.kit.edu/english/vorstudium/master-german-literature.php
German Literature Teaching Degree,Bachelor of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-german-literature.php
German Literature Teaching Degree,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-german-literature.php
German Literature Teaching Degree Complementary Subject,Master of Education,https://www.sle.kit.edu/english/vorstudium/lehramt-master-german-literature-complementary-subject.php
History of Art,Bachelor of Arts,https://www.sle.kit.edu/english/vorstudium/bachelor-history-art.php
History of Art,Master of Arts,https://www.sle.kit.edu/english/vorstudium/master-history-art.php
Industrial Engineering and Management,Bachelor of Science,https://www.sle.kit.edu/english/vorstudium/bachelor-industrial-engineering-management.php
Industrial Engineering and Management,Master of Science,https://www.sle.kit.edu/english/vorstudium/master-industrial-engineering-management.php
